,use_of_ip,abnormal_url,count.,count-www,count@,count_dir,count_embed_domian,short_url,count-https,count-http,count%,count?,count-,count=,url_length,hostname_length,sus_url,fd_length,tld_length,count-digits,count-letters
68,0,1,3,0,0,2,0,0,0,2,2,2,0,3,113,9,0,8,2,21,67
69,0,1,2,0,0,1,0,0,0,1,0,0,13,0,85,11,0,66,2,6,60
70,0,1,1,0,0,3,0,0,0,1,0,1,0,3,65,10,0,1,3,5,47
71,0,1,2,0,0,4,0,0,0,1,0,0,9,0,109,15,0,12,6,1,90
72,0,1,2,0,0,1,0,0,0,1,0,1,0,2,93,10,0,13,2,31,49
73,0,1,1,0,0,4,0,0,0,1,0,0,9,0,111,17,0,7,3,0,94
74,0,1,1,0,0,5,0,0,0,1,0,0,9,0,128,17,0,7,3,0,110
75,0,1,1,0,0,4,0,0,0,1,0,0,8,0,96,8,0,4,3,6,74
76,0,1,2,0,0,7,0,1,0,1,0,0,6,0,109,9,0,2,5,1,90
77,0,1,1,0,0,3,0,0,0,1,0,0,7,0,87,9,0,19,3,6,67
78,0,1,2,0,0,4,0,0,0,1,0,0,1,0,113,10,0,5,2,4,92
79,0,1,2,0,0,4,0,0,0,1,0,1,12,1,142,11,0,7,3,5,113
80,0,1,1,0,0,5,0,1,0,1,0,0,8,0,88,10,0,7,3,6,65
81,0,1,2,0,0,2,0,0,0,1,0,1,0,9,106,10,0,4,3,3,78
82,0,1,2,0,0,1,0,0,0,1,0,0,13,0,87,11,0,68,2,6,62
83,0,1,3,0,0,2,0,0,0,1,0,0,15,0,97,15,0,13,6,10,64
84,0,1,1,0,0,2,0,0,0,1,37,0,0,0,136,9,0,4,2,41,52
85,0,1,2,0,0,3,0,0,0,1,0,0,8,0,88,11,0,7,2,10,61
86,0,1,1,0,0,3,0,0,0,1,0,1,9,1,112,13,0,9,3,6,88
87,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,23,50
88,0,1,2,0,0,3,0,0,0,1,0,0,8,0,86,11,0,7,2,10,59
89,0,1,2,0,0,5,0,0,0,1,0,0,18,0,164,11,0,4,5,15,121
90,0,1,1,0,0,3,0,0,0,1,0,0,14,0,123,17,0,9,3,8,94
91,0,1,2,0,0,3,0,0,0,1,0,1,7,1,127,13,1,16,3,17,93
92,0,1,1,0,0,2,0,0,0,1,0,0,14,0,119,12,0,7,3,7,92
93,0,1,1,0,0,4,0,0,0,1,0,0,8,0,107,13,0,4,3,46,45
94,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,22,51
95,0,1,2,0,0,7,0,0,0,1,0,0,4,0,111,10,0,7,2,16,77
96,0,1,1,0,0,2,0,0,0,1,25,0,0,0,99,12,0,3,2,23,45
97,0,1,1,0,0,3,0,0,0,1,0,0,14,0,92,6,0,6,3,7,64
98,0,1,2,0,0,7,0,0,0,1,0,0,10,0,115,14,0,4,3,8,85
99,0,1,2,0,0,1,0,0,0,1,0,0,14,0,100,15,0,77,3,3,77
100,0,1,1,0,0,3,0,0,0,1,22,0,0,0,91,9,0,3,2,21,41
101,0,1,2,0,0,6,0,0,0,1,0,0,9,0,127,14,1,10,3,8,99
102,0,1,14,0,0,2,0,0,0,1,0,1,0,1,164,12,0,7,3,37,104
103,0,1,2,0,0,2,0,0,0,1,0,0,16,0,113,9,0,8,2,18,72
104,0,1,1,0,0,5,0,0,0,1,4,0,5,0,102,10,0,5,3,37,47
105,0,1,2,0,0,6,0,0,0,1,0,0,14,0,132,14,0,7,3,9,98
106,0,1,1,0,0,3,0,0,0,1,0,0,11,0,91,7,0,8,3,6,67
107,0,1,2,0,0,1,0,0,0,1,0,0,10,0,96,12,1,76,2,0,80
108,0,1,1,0,0,6,0,0,1,1,0,1,5,1,96,9,0,4,3,0,79
109,0,1,2,0,0,3,0,0,0,1,0,1,3,2,93,14,0,6,3,4,74
110,0,1,3,0,0,3,0,0,0,1,8,0,2,0,141,15,0,7,2,26,84
111,0,1,3,1,0,3,0,0,0,1,0,0,0,0,66,16,0,10,3,16,41
112,0,1,1,0,0,3,0,0,0,1,0,0,14,0,107,7,0,8,3,6,80
113,0,1,2,0,0,3,0,0,0,1,0,1,0,2,83,6,0,4,2,3,67
114,0,1,2,0,0,1,0,0,0,2,65,1,1,1,280,11,0,4,3,79,122
115,0,1,2,0,0,4,0,0,0,1,0,0,8,0,121,15,0,12,6,0,104
116,0,1,1,0,0,4,0,0,0,1,0,0,6,0,99,17,0,6,3,0,85
117,0,1,1,0,0,2,0,0,0,1,0,1,11,1,94,15,0,56,3,8,67
118,0,1,1,0,0,3,0,0,0,1,20,0,0,0,85,9,0,3,2,17,41
119,0,1,1,0,0,3,0,0,0,1,2,1,1,2,130,15,0,9,3,2,107
120,0,1,3,0,0,2,0,0,0,2,2,1,2,1,91,9,0,8,2,19,51
121,0,1,1,0,0,7,0,0,1,1,0,0,6,0,109,11,0,4,3,19,73
122,0,1,1,0,0,4,0,0,0,1,0,0,11,0,119,17,0,7,3,0,100
123,0,1,1,0,0,4,0,0,0,1,0,0,9,0,96,6,0,7,3,4,75
124,0,1,1,0,0,3,0,0,0,1,0,1,0,3,64,10,0,1,3,4,47
125,0,1,2,0,0,2,0,0,0,1,0,0,14,0,99,13,0,7,2,6,72
126,0,1,1,0,0,2,0,0,0,1,0,0,9,0,78,14,0,4,3,4,59
127,0,1,1,0,0,2,0,0,0,1,0,1,7,1,100,15,0,6,3,6,79
128,0,1,2,0,0,5,0,0,0,1,0,0,15,0,136,11,0,4,5,19,92
129,0,1,2,0,0,5,0,0,0,1,0,0,16,0,115,11,0,4,5,15,74
130,0,1,2,0,0,6,0,0,0,1,0,0,3,0,86,13,0,8,3,0,72
131,0,1,1,0,0,3,0,1,0,1,0,0,6,0,89,15,1,9,3,6,70
132,0,1,1,0,0,4,0,0,0,1,0,0,10,0,92,6,0,7,3,4,70
133,0,1,1,0,0,2,0,0,0,1,0,1,4,2,90,15,0,10,3,12,64
134,0,1,2,0,0,6,0,0,0,1,0,0,8,0,124,14,0,4,3,8,97
135,0,1,6,0,0,2,0,0,0,1,0,1,0,1,117,12,0,7,3,30,72
136,0,1,1,0,0,3,0,0,0,1,0,1,7,1,102,13,0,9,3,10,76
137,0,1,2,0,0,2,0,0,0,1,0,0,13,0,104,9,0,7,2,19,65
138,0,1,1,0,0,6,0,0,0,1,0,0,4,0,88,12,0,8,3,8,66
139,0,1,2,0,0,1,0,0,1,2,74,1,1,1,309,11,0,4,3,99,122
140,0,1,1,0,0,2,0,0,0,1,0,0,19,0,146,10,0,7,3,7,114
141,0,1,1,0,0,4,0,0,0,1,18,0,1,0,88,9,0,5,3,25,36
142,0,1,1,0,0,6,0,0,0,1,0,0,5,0,87,11,1,2,3,0,72
143,0,1,2,0,0,2,0,0,0,1,2,1,8,4,115,10,0,7,2,9,81
144,0,1,1,0,0,4,0,0,0,1,104,0,7,0,353,9,0,4,3,127,107
145,0,1,1,0,0,4,0,0,0,1,119,0,10,0,402,9,0,4,3,141,123
146,0,1,1,0,0,4,0,0,0,1,0,0,6,0,90,6,0,8,2,8,68
147,0,1,1,0,0,3,0,0,0,1,0,0,12,0,108,6,0,6,3,6,83
148,0,1,2,0,0,1,0,0,0,1,0,0,11,0,101,12,1,81,2,2,82
149,0,1,9,0,0,2,0,0,0,1,0,1,0,1,139,12,0,7,3,29,92
150,0,1,1,0,0,5,0,0,0,1,0,0,10,0,130,17,0,7,3,0,111
151,0,1,1,0,0,1,0,0,0,1,0,0,10,0,83,15,0,60,3,5,62
152,0,1,3,1,0,4,0,0,0,1,0,0,0,0,72,13,0,11,3,23,39
153,0,1,1,0,0,4,0,1,0,1,0,0,12,0,96,10,0,6,3,6,70
154,0,1,1,0,0,2,0,0,0,1,27,0,0,0,99,9,0,81,4,33,33
155,0,0,3,0,0,4,0,0,0,0,0,0,2,0,56,0,0,10,-1,0,47
156,0,1,2,0,0,3,0,0,0,1,0,1,7,1,119,13,1,16,3,17,85
157,0,1,5,0,0,2,0,0,0,1,0,1,0,6,135,13,0,7,3,28,84
158,0,1,2,0,0,2,0,0,0,1,0,1,0,5,129,13,1,13,3,27,83
159,0,1,2,0,0,3,0,0,0,1,0,0,1,0,93,15,0,7,2,18,60
160,0,1,1,0,0,4,0,0,0,1,90,0,6,0,309,9,0,4,3,102,103
161,0,1,1,0,0,3,0,0,0,1,0,0,9,0,84,7,0,5,2,7,61
162,0,1,2,0,0,2,0,0,0,1,0,1,0,9,106,10,0,4,3,4,77
163,0,1,2,0,0,3,0,0,0,1,0,1,6,1,98,14,0,10,3,8,74
164,0,1,2,0,0,4,0,0,0,1,0,0,5,0,99,15,0,12,6,0,83
165,0,1,1,0,0,3,0,0,0,1,3,0,8,0,97,7,0,5,2,16,63
166,1,1,5,0,0,3,0,0,0,1,1,0,0,0,100,15,0,16,2,19,62
167,0,1,3,1,0,1,0,0,1,2,0,1,8,1,93,11,1,5,3,0,71
168,0,1,2,0,0,6,0,0,0,1,0,0,2,0,90,10,0,7,2,12,63
169,0,1,1,0,0,3,0,1,0,1,0,0,7,0,83,15,0,9,3,6,63
170,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,22,51
171,0,1,2,1,0,2,0,0,0,1,0,0,6,0,67,23,0,35,3,0,54
172,0,1,1,0,0,3,0,0,0,1,0,0,15,0,104,7,0,8,3,5,77
173,0,1,10,0,0,3,0,0,0,1,0,0,1,0,108,15,0,7,2,15,76
174,0,1,1,0,0,1,0,0,0,1,21,1,0,1,99,23,0,0,3,25,46
175,0,1,9,0,0,2,0,0,0,1,0,1,0,1,137,12,0,7,3,34,85
176,0,1,1,0,0,5,0,0,0,1,0,0,9,0,118,10,0,5,3,36,64
177,0,1,2,0,0,2,0,0,0,1,0,0,13,0,94,13,0,6,2,9,65
178,0,1,1,0,0,4,0,0,0,1,44,0,4,0,168,9,0,5,3,50,62
179,0,1,2,0,0,3,0,1,0,1,0,1,2,1,100,7,0,11,3,6,78
180,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,21,52
181,0,1,3,0,0,1,0,0,0,1,8,1,5,2,149,17,1,14,3,17,108
182,0,1,5,0,0,6,0,0,1,1,0,1,5,1,102,9,0,5,3,3,78
183,0,1,1,0,0,6,0,0,0,1,0,0,16,0,124,14,0,2,3,9,89
184,0,1,1,0,0,4,0,0,0,1,0,0,8,0,87,6,0,7,3,4,67
185,0,1,3,0,0,2,0,0,0,1,0,0,12,0,85,15,0,7,6,10,55
186,0,1,2,0,0,3,0,0,0,1,0,0,8,0,84,11,0,7,2,6,61
187,0,1,2,0,0,1,0,0,0,1,0,0,14,0,110,12,0,90,3,12,78
188,0,1,1,0,0,3,0,0,1,1,0,1,14,1,126,9,0,4,3,0,103
189,0,1,10,0,0,2,0,0,0,1,0,1,0,1,163,12,0,7,3,52,92
190,0,1,2,0,0,2,0,0,0,1,16,1,0,3,131,13,0,13,3,9,92
191,0,1,2,0,0,2,0,0,0,1,0,1,0,9,108,10,0,4,3,4,79
192,0,1,1,0,0,6,0,0,0,1,0,0,6,0,84,14,0,10,3,8,60
193,0,0,3,1,0,2,0,0,0,0,0,0,0,0,46,0,0,17,-1,0,40
194,0,1,2,0,0,5,0,0,0,1,0,0,17,0,139,11,0,4,5,15,97
195,0,1,1,0,0,3,0,0,0,1,0,0,9,0,87,7,0,5,2,7,64
196,0,1,1,0,0,3,0,0,0,1,0,0,9,0,93,7,0,8,3,7,70
197,0,1,3,0,0,6,0,0,1,1,0,1,2,1,108,9,0,5,3,2,90
198,0,1,1,0,0,4,0,0,0,1,0,0,3,0,88,14,0,4,3,7,68
199,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,20,53
200,0,1,1,0,0,3,0,0,0,1,0,0,7,0,85,17,0,4,3,0,71
201,0,1,1,0,0,4,0,1,0,1,0,0,8,0,89,10,0,6,3,6,67
202,0,1,1,0,0,2,0,0,0,1,0,1,14,1,116,14,1,1,3,13,81
203,0,1,1,0,0,6,0,0,0,1,0,0,2,0,92,10,0,3,3,39,40
204,0,1,2,0,0,5,0,0,0,1,0,0,9,0,96,11,0,4,5,15,62
205,0,1,1,0,0,7,0,0,0,1,0,1,0,4,120,14,1,8,3,26,75
206,0,1,2,0,0,3,0,0,0,1,0,0,0,0,103,13,0,10,6,6,82
207,0,1,2,0,0,3,0,0,0,1,0,0,0,0,121,13,0,4,6,6,95
208,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,24,49
209,0,1,1,0,0,10,0,0,0,1,0,0,0,0,87,15,0,4,3,19,54
210,0,1,1,0,0,4,0,0,0,1,48,0,5,0,182,9,0,4,3,56,65
211,0,1,2,0,0,2,0,0,0,1,2,1,6,5,110,10,0,7,2,14,71
212,0,1,1,0,0,6,0,0,0,1,0,0,4,0,85,10,0,6,3,4,65
213,0,1,1,0,0,3,0,0,0,1,0,0,11,0,86,7,0,8,3,6,62
214,0,1,9,0,0,2,0,0,0,1,0,1,0,1,131,12,0,7,3,29,84
215,0,1,2,0,0,2,0,0,0,1,0,0,13,0,94,13,0,27,2,8,66
216,0,1,1,0,0,4,0,0,0,1,42,0,2,0,165,7,0,4,3,54,59
217,0,1,1,0,0,3,0,0,0,1,0,0,4,0,83,15,0,4,3,8,64
218,0,1,2,0,0,6,0,0,0,1,0,0,8,0,101,14,0,8,3,8,74
219,0,1,1,0,0,4,0,0,0,1,90,0,6,0,309,9,0,4,3,108,97
220,0,1,2,0,0,2,0,0,0,1,0,1,0,9,106,10,0,4,3,4,77
221,0,1,18,0,0,2,0,0,0,1,0,1,0,1,167,12,0,7,3,40,100
222,0,1,3,0,0,6,0,0,0,1,0,0,5,0,129,12,0,18,6,0,112
223,0,1,1,0,0,4,0,0,0,1,24,0,2,0,113,7,0,4,3,41,38
224,0,1,1,0,0,3,0,1,0,1,0,0,14,0,119,15,0,9,3,6,92
225,0,1,15,0,0,1,0,0,1,1,61,1,0,2,1189,12,0,11,3,784,308
226,0,1,2,0,0,3,0,0,0,1,0,0,5,0,100,15,0,16,2,18,64
227,0,0,3,0,0,3,0,0,0,0,0,0,0,0,39,0,0,3,-1,0,33
228,0,1,1,0,0,3,0,0,0,1,18,0,0,0,83,16,0,3,3,26,32
229,0,1,9,0,0,2,0,0,0,1,0,1,0,1,132,12,0,7,3,26,88
230,0,1,1,0,0,3,0,0,0,1,0,0,11,0,99,7,0,8,3,5,76
231,0,1,1,0,0,3,0,0,0,1,0,0,7,0,84,17,0,4,3,0,70
232,0,1,1,0,0,4,0,0,0,1,0,0,12,0,100,8,0,4,3,6,74
233,0,1,2,0,0,3,0,1,0,1,2,1,1,3,97,9,0,5,5,2,74
234,0,1,1,0,0,5,0,0,0,1,0,0,13,0,110,14,0,4,3,9,79
235,0,1,2,0,0,1,0,0,0,1,0,0,13,0,88,17,0,63,3,0,69
236,0,1,9,0,0,2,0,0,0,1,0,1,0,1,134,12,0,7,3,31,85
237,0,1,2,1,0,2,0,0,0,1,0,0,0,0,54,27,0,7,3,0,47
238,0,1,1,0,0,1,0,0,0,1,0,1,0,3,112,13,0,0,3,49,47
239,0,1,2,0,0,1,0,0,0,1,0,0,8,0,83,10,0,65,2,13,56
240,0,1,6,0,0,4,0,0,0,1,0,1,3,4,173,16,1,8,6,17,127
241,0,1,2,0,0,1,0,0,0,2,86,1,1,1,345,11,0,4,3,114,131
242,0,1,1,0,0,3,0,0,0,1,0,0,48,0,351,10,1,7,3,12,284
243,0,1,1,0,0,3,0,0,0,1,15,0,1,0,84,13,0,8,3,17,44
244,0,1,2,0,0,2,0,0,0,1,0,0,6,0,85,17,0,8,3,8,64
245,0,1,17,0,0,2,0,0,0,1,0,1,0,1,166,12,0,7,3,38,102
246,0,1,1,0,0,3,0,0,0,1,0,1,0,8,111,7,0,4,2,15,67
247,0,1,1,0,0,2,0,0,0,1,21,0,0,0,81,9,0,63,4,27,27
248,0,1,5,0,0,5,0,0,1,1,0,1,2,1,85,9,0,5,3,4,63
249,0,1,1,0,0,3,0,0,0,1,0,1,10,2,127,13,0,5,2,11,94
250,0,1,5,0,0,2,0,0,0,1,0,1,0,6,135,13,0,7,3,28,84
251,0,1,2,0,0,1,0,0,0,1,0,1,0,11,91,15,0,9,3,13,46
252,0,1,1,0,0,3,0,0,0,1,0,0,41,0,264,10,0,7,3,8,208
253,0,1,3,1,0,4,0,0,0,1,0,1,0,3,82,14,0,3,3,6,60
254,0,1,1,0,0,3,0,0,0,1,0,0,6,0,84,13,0,8,3,0,71
255,0,1,14,0,0,2,0,0,0,1,0,1,0,1,145,12,0,7,3,28,94
256,0,1,2,0,0,6,0,0,0,1,0,0,6,0,129,15,0,16,6,1,111
257,0,1,8,0,0,2,0,0,0,1,0,1,0,1,127,12,0,7,3,26,84
258,0,1,2,0,0,3,0,0,0,1,0,0,14,0,107,13,0,17,2,8,77
259,0,1,1,0,0,5,0,0,0,1,0,0,4,0,84,10,0,5,3,29,42
260,0,1,2,0,0,3,0,0,0,1,5,0,0,0,126,15,0,16,2,20,84
261,0,1,1,0,0,8,0,0,0,1,0,0,0,0,90,6,0,12,2,3,75
262,0,1,1,0,0,3,0,0,0,1,0,0,5,0,87,6,0,8,2,8,67
263,0,1,1,0,0,3,0,0,0,1,0,0,12,0,105,7,0,8,3,5,81
264,0,1,1,0,0,5,0,0,0,1,0,0,6,0,95,6,0,8,2,9,71
265,0,1,2,0,0,5,0,0,0,1,0,0,15,0,126,11,0,4,5,15,86
266,0,1,2,0,0,1,0,0,0,2,95,1,1,1,370,11,0,4,3,119,142
267,0,1,2,0,0,6,0,0,0,1,0,0,7,0,136,15,0,16,6,1,117
268,0,1,1,0,0,4,0,0,0,1,18,1,1,1,87,6,0,2,2,18,40
269,0,1,3,1,0,4,0,0,0,1,0,1,0,2,92,14,0,4,3,20,58
270,0,1,2,0,0,9,1,0,0,2,2,1,0,1,126,18,0,11,3,24,83
271,1,1,8,0,0,3,0,0,0,1,0,0,3,0,72,31,0,6,16,5,50
272,0,1,1,0,0,1,0,0,0,1,0,1,0,3,90,12,0,0,2,0,72
273,0,1,13,0,0,2,0,0,0,1,0,1,0,1,153,12,0,7,3,36,95
274,0,1,1,0,0,2,0,0,0,1,18,0,0,0,72,9,0,54,4,20,28
275,0,1,2,0,0,3,0,0,0,1,2,0,1,0,110,15,0,16,2,10,82
276,0,1,1,0,0,3,0,0,0,1,0,0,8,0,86,11,0,32,3,0,71
277,0,1,1,0,0,2,0,0,0,1,0,0,9,0,85,8,0,5,3,0,70
278,0,1,2,0,0,3,0,0,0,1,0,0,10,0,88,15,0,9,6,0,70
279,0,1,2,0,0,6,0,0,0,1,0,0,3,0,113,14,0,11,6,6,91
280,0,1,2,0,0,1,0,0,0,1,0,1,0,5,86,9,0,9,3,11,59
281,0,1,2,0,0,2,0,0,0,1,0,1,0,9,111,10,0,4,3,5,81
282,0,1,9,0,0,2,0,0,0,1,0,1,0,1,140,12,0,7,3,38,84
283,0,1,2,0,0,6,0,1,0,1,0,0,2,0,84,10,0,10,3,0,71
284,0,1,2,0,0,1,0,0,0,2,62,1,1,1,271,11,0,4,3,79,116
285,0,1,1,0,0,5,0,0,0,1,0,0,7,0,91,12,0,5,3,10,65
286,0,1,2,0,0,5,0,0,0,1,0,0,17,0,127,11,0,4,5,15,85
287,0,1,10,0,0,2,0,0,0,1,0,1,0,1,138,12,0,7,3,32,87
288,0,1,1,0,0,4,0,0,0,1,0,0,10,0,103,10,0,66,3,10,75
289,0,1,1,0,0,3,0,0,0,1,0,1,6,2,124,13,0,5,2,7,99
290,0,1,2,0,0,2,0,0,0,2,0,1,0,2,87,14,0,7,3,0,71
291,0,1,1,0,0,5,0,0,0,1,0,0,9,0,104,12,0,9,3,10,76
292,0,1,9,0,0,3,0,0,0,1,0,0,1,0,97,15,0,7,2,14,67
293,0,1,1,0,0,3,0,0,0,1,0,0,7,0,83,13,0,8,3,4,65
294,0,1,8,0,0,2,0,0,0,1,0,1,0,1,135,12,0,7,3,37,81
295,0,1,1,0,0,5,0,0,0,1,16,0,0,0,83,14,0,4,2,19,39
296,0,1,2,0,0,4,0,0,0,1,0,1,0,1,85,11,0,6,3,15,59
297,0,1,1,0,0,5,0,0,0,1,0,1,0,2,88,15,0,8,3,1,74
298,0,1,1,0,0,1,0,0,0,1,7,1,0,1,86,11,1,5,3,17,55
299,0,1,2,0,0,2,0,1,0,1,2,1,2,4,120,9,0,9,5,3,94
300,0,1,2,0,0,3,0,0,0,1,0,0,12,0,91,11,0,3,2,6,65
301,0,1,1,0,0,2,0,0,0,1,0,1,14,1,125,15,0,74,3,11,90
302,0,1,1,0,0,1,0,0,0,1,0,0,9,0,90,15,0,67,3,5,70
303,0,1,2,0,0,3,0,0,0,1,0,1,5,1,98,14,0,8,3,8,75
304,0,1,1,0,0,2,0,0,0,1,0,0,10,0,90,8,0,5,3,0,74
305,0,1,1,0,0,5,0,0,0,1,0,0,5,0,97,10,0,5,3,30,53
306,0,1,1,0,0,3,0,0,0,1,0,1,0,8,106,7,0,4,2,15,62
307,0,1,3,0,0,6,0,0,0,1,0,0,0,0,94,19,0,2,3,16,66
308,0,1,1,0,0,3,0,0,0,1,0,0,15,0,122,13,0,12,3,0,100
309,0,1,4,0,0,3,0,0,0,1,0,0,1,0,67,16,0,5,2,11,44
310,0,1,2,0,0,3,0,0,0,1,0,0,5,0,86,15,0,7,2,14,57
311,0,1,1,0,0,5,0,1,0,1,0,0,12,0,104,14,0,5,3,17,66
312,0,1,7,0,0,5,0,0,0,1,0,0,0,0,93,10,0,8,2,3,71
